city,date,confirmed,deaths
Paulo Afonso,2021-05-17,5709,147
Pé de Serra,2021-05-17,1359,6
Pedrão,2021-05-17,273,3
Pedro Alexandre,2021-05-17,310,7
Piatã,2021-05-17,1124,20
Pilão Arcado,2021-05-17,607,13
Pindaí,2021-05-17,593,5
Pindobaçu,2021-05-17,1443,29
Pintadas,2021-05-17,917,7
Piraí do Norte,2021-05-17,703,9
Piripá,2021-05-17,941,6
Piritiba,2021-05-17,605,14
Planaltino,2021-05-17,527,8
Planalto,2021-05-17,1344,26
Poções,2021-05-17,2720,54
Pojuca,2021-05-17,2831,37
Ponto Novo,2021-05-17,577,4
Porto Seguro,2021-05-17,8172,173
Potiraguá,2021-05-17,460,9
Prado,2021-05-17,1439,29
Presidente Dutra,2021-05-17,1137,11
Presidente Jânio Quadros,2021-05-17,622,9
Presidente Tancredo Neves,2021-05-17,1531,34
Queimadas,2021-05-17,1244,31
Quijingue,2021-05-17,313,12
Quixabeira,2021-05-17,674,5
Rafael Jambeiro,2021-05-17,805,18
Remanso,2021-05-17,1473,53
Retirolândia,2021-05-17,1279,10
Riachão das Neves,2021-05-17,912,32
Riachão do Jacuípe,2021-05-17,3424,41
Riacho de Santana,2021-05-17,1345,31
Ribeira do Amparo,2021-05-17,701,7
Ribeira do Pombal,2021-05-17,3267,47
Ribeirão do Largo,2021-05-17,373,6
Rio de Contas,2021-05-17,440,4
Rio do Antônio,2021-05-17,476,9
Rio do Pires,2021-05-17,115,7
Rio Real,2021-05-17,1831,35
Rodelas,2021-05-17,191,3
Ruy Barbosa,2021-05-17,1978,25
Salinas da Margarida,2021-05-17,1305,13
Salvador,2021-05-17,199810,6333
Santa Bárbara,2021-05-17,927,18
Santa Brígida,2021-05-17,760,17
Santa Cruz Cabrália,2021-05-17,2048,23
Santa Cruz da Vitória,2021-05-17,501,7
Santa Inês,2021-05-17,505,10
Santaluz,2021-05-17,2236,35
Santa Luzia,2021-05-17,974,21
Santa Maria da Vitória,2021-05-17,1693,31
Santana,2021-05-17,262,13
Santanópolis,2021-05-17,475,7
Santa Rita de Cássia,2021-05-17,1765,21
Santa Teresinha,2021-05-17,411,6
Santo Amaro,2021-05-17,2335,68
Santo Antônio de Jesus,2021-05-17,10014,129
Santo Estêvão,2021-05-17,2641,40
São Desidério,2021-05-17,1940,30
São Domingos,2021-05-17,866,9
São Felipe,2021-05-17,2299,17
São Félix,2021-05-17,854,7
São Félix do Coribe,2021-05-17,678,12
São Francisco do Conde,2021-05-17,2827,49
São Gabriel,2021-05-17,1521,10
São Gonçalo dos Campos,2021-05-17,1926,26
São José da Vitória,2021-05-17,682,8
São José do Jacuípe,2021-05-17,381,2
São Miguel das Matas,2021-05-17,625,7
São Sebastião do Passé,2021-05-17,3078,83
Sapeaçu,2021-05-17,1337,14
Sátiro Dias,2021-05-17,502,7
Saubara,2021-05-17,443,16
Saúde,2021-05-17,398,3
Seabra,2021-05-17,4343,46
Sebastião Laranjeiras,2021-05-17,336,7
Senhor do Bonfim,2021-05-17,4013,68
Sento Sé,2021-05-17,854,27
Serra do Ramalho,2021-05-17,442,17
Serra Dourada,2021-05-17,420,9
Serra Preta,2021-05-17,765,19
Serrinha,2021-05-17,6152,79
Serrolândia,2021-05-17,984,10
Simões Filho,2021-05-17,7329,188
Sítio do Mato,2021-05-17,166,5
Sítio do Quinto,2021-05-17,442,7
Sobradinho,2021-05-17,1314,40
Souto Soares,2021-05-17,914,20
Tabocas do Brejo Velho,2021-05-17,213,6
Tanhaçu,2021-05-17,1138,14
Tanque Novo,2021-05-17,645,8
Tanquinho,2021-05-17,692,11
Taperoá,2021-05-17,1048,30
Tapiramutá,2021-05-17,473,4
Teixeira de Freitas,2021-05-17,14457,234
Teodoro Sampaio,2021-05-17,248,8
Teofilândia,2021-05-17,870,15
Teolândia,2021-05-17,898,7
Terra Nova,2021-05-17,674,21
Tremedal,2021-05-17,483,10
Tucano,2021-05-17,2268,41
Uauá,2021-05-17,2094,39
Ubaíra,2021-05-17,753,13
Ubaitaba,2021-05-17,969,34
Ubatã,2021-05-17,1624,32
Uibaí,2021-05-17,791,11
Umburanas,2021-05-17,649,5
Una,2021-05-17,855,31
Urandi,2021-05-17,764,6
Uruçuca,2021-05-17,1699,57
Utinga,2021-05-17,1096,11
Valença,2021-05-17,6138,112
Valente,2021-05-17,2209,20
Várzea da Roça,2021-05-17,977,7
Várzea do Poço,2021-05-17,448,4
Várzea Nova,2021-05-17,603,9
Varzedo,2021-05-17,501,5
Vera Cruz,2021-05-17,1199,49
Vereda,2021-05-17,418,17
Vitória da Conquista,2021-05-17,28678,473
Wagner,2021-05-17,535,6
Wanderley,2021-05-17,717,10
Wenceslau Guimarães,2021-05-17,1479,20
Xique-Xique,2021-05-17,2305,45
,2021-05-17,957267,19972
Abaiara,2021-05-17,456,11
Acarape,2021-05-17,2604,24
Acaraú,2021-05-17,4508,93
Acopiara,2021-05-17,2834,117
Aiuaba,2021-05-17,441,9
Alcântaras,2021-05-17,1353,17
Altaneira,2021-05-17,406,13
Alto Santo,2021-05-17,1146,21
Amontada,2021-05-17,2439,43
Antonina do Norte,2021-05-17,561,19
Apuiarés,2021-05-17,941,21
Aquiraz,2021-05-17,5665,77
Aracati,2021-05-17,5910,124
Aracoiaba,2021-05-17,3055,27
Ararendá,2021-05-17,777,16
Araripe,2021-05-17,872,13
Aratuba,2021-05-17,1152,8
Arneiroz,2021-05-17,504,13
Assaré,2021-05-17,1551,31
Aurora,2021-05-17,1369,30
Baixio,2021-05-17,395,10
Banabuiú,2021-05-17,1362,12
Barbalha,2021-05-17,4668,93
Barreira,2021-05-17,1185,32
Barro,2021-05-17,979,18
Barroquinha,2021-05-17,938,24
Baturité,2021-05-17,3120,67
Beberibe,2021-05-17,3812,94
Bela Cruz,2021-05-17,3080,60
Boa Viagem,2021-05-17,3122,88
Brejo Santo,2021-05-17,7310,130
Camocim,2021-05-17,5306,142
Campos Sales,2021-05-17,1740,29
Canindé,2021-05-17,4628,160
Capistrano,2021-05-17,1845,31
Caridade,2021-05-17,1318,37
Cariré,2021-05-17,2132,38
Caririaçu,2021-05-17,1148,34
Cariús,2021-05-17,1867,20
Carnaubal,2021-05-17,1294,11
Cascavel,2021-05-17,5009,131
Catarina,2021-05-17,647,15
Catunda,2021-05-17,963,11
Caucaia,2021-05-17,18646,759
Cedro,2021-05-17,2841,35
Chaval,2021-05-17,1251,26
Choró,2021-05-17,805,10
Chorozinho,2021-05-17,1688,26
Coreaú,2021-05-17,2327,44
Crateús,2021-05-17,9572,168
Crato,2021-05-17,13887,185
